fecha,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
"2018-02-15 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14.6","0","7.4","2018-02-15 06:28:00","21.8","2018-02-15 11:22:00","99","2.8","9.7","2018-02-15 00:00:00"
"2018-02-16 00:00:00","CARTAGENA","MURCIA","17","13","0","8.7","2018-02-16 06:00:00","17.2","2018-02-16 13:40:00","17","0.8","5.3","2018-02-16 14:30:00"
"2018-02-16 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","12.1","0","6","2018-02-16 06:53:00","18.2","2018-02-16 13:09:00","99","1.9","5","2018-02-16 00:00:00"
"2018-02-17 00:00:00","CARTAGENA","MURCIA","17","13.2","0","9.2","2018-02-17 07:30:00","17.1","2018-02-17 13:40:00","21","1.4","8.6","2018-02-17 14:10:00"
"2018-02-17 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","15.6","0","7.2","2018-02-17 02:57:00","23.9","2018-02-17 14:58:00","30","4.4","11.4","2018-02-17 09:35:00"
"2018-02-18 00:00:00","CARTAGENA","MURCIA","17","14","0","12.5","2018-02-18 03:30:00","15.4","2018-02-18 13:00:00","99","1.7","6.1","2018-02-18 00:00:00"
"2018-02-18 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14.4","0.2","12.3","2018-02-18 23:55:00","16.5","2018-02-18 13:59:00","99","5.3","11.7","2018-02-18 00:00:00"
"2018-02-19 00:00:00","CARTAGENA","MURCIA","17","14.2","0","11.9","2018-02-19 07:30:00","16.6","2018-02-19 12:40:00","23","1.4","5.3","2018-02-19 23:10:00"
"2018-02-19 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","12.6","0","7.7","2018-02-19 23:54:00","17.4","2018-02-19 13:00:00","99","1.9","5.8","2018-02-19 00:00:00"
"2018-02-20 00:00:00","CARTAGENA","MURCIA","17","14.8","0","8.8","2018-02-20 06:10:00","20.8","2018-02-20 14:40:00","24","2.5","9.2","2018-02-20 16:00:00"
